run_idx,scenario_name,pv_penetration,ambient_delta_c,load_growth_pct,peak_theta_hs_c,mean_theta_hs_c,lol_percent_annual,lol_hours_annual,hours_above_110c,hours_above_120c,reverse_flow_hours,peak_net_load_pu,mean_f_aa,battery_lifetime_fraction,dispatch_method
61,pv75_battery5mwh_today,0.75,0.0,0.0,85.13062286376953,53.0771953457718,0.027179814368932662,48.92366586407879,0.0,0.0,619.0,0.9003360731710399,0.005584893363479314,0.007888274268599815,threshold
62,pv75_battery5mwh_today,0.75,0.0,0.0,84.55420684814453,53.00185471599954,0.02714921402460604,48.86858524429087,0.0,0.0,642.0,0.8891797918826947,0.005578605621494392,0.008344852907683102,threshold
63,pv75_battery5mwh_today,0.75,0.0,0.0,84.59809112548828,53.05747387959289,0.027199732679177437,48.959518822519385,0.0,0.0,637.0,0.8934868293758829,0.005588986166954268,0.008199646957753737,threshold
64,pv75_battery5mwh_today,0.75,0.0,0.0,85.30508422851562,53.036910650081104,0.027475345370747827,49.45562166734609,0.0,0.0,672.0,0.8847071141305068,0.005645618911797498,0.0076259178248034845,threshold
65,pv75_battery5mwh_today,0.75,0.0,0.0,84.60627746582031,53.095102268558044,0.027507030265154525,49.51265447727815,0.0,0.0,594.0,0.8955252607230879,0.005652129506538601,0.009240472613641209,threshold
66,pv75_battery5mwh_today,0.75,0.0,0.0,84.1992416381836,53.12993584213264,0.02724144094263672,49.0345936967461,0.0,0.0,604.0,0.9013928236321015,0.0055975563580760385,0.008240695237422204,threshold
67,pv75_battery5mwh_today,0.75,0.0,0.0,84.69376373291016,53.06489118072981,0.027206427206504236,48.97156897170762,0.0,0.0,606.0,0.8968276826065052,0.0055903617547611445,0.007743180334148626,threshold
68,pv75_battery5mwh_today,0.75,0.0,0.0,84.83517456054688,53.051942872066654,0.02717425873751779,48.91366572753202,0.0,0.0,618.0,0.8910292121832283,0.005583751795380368,0.007939039717293879,threshold
69,pv75_battery5mwh_today,0.75,0.0,0.0,84.23206329345703,53.010702298396026,0.027403659558320772,49.326587204977386,0.0,0.0,662.0,0.880447165817251,0.005630888950339885,0.007708872331921477,threshold
70,pv75_battery5mwh_today,0.75,0.0,0.0,84.71341705322266,53.097548290022004,0.027268007657265215,49.08241378307739,0.0,0.0,615.0,0.890896699531441,0.005603015272040797,0.007725218939010308,threshold
71,pv75_battery5mwh_today,0.75,0.0,0.0,84.7322998046875,52.96001845876266,0.027046394909838456,48.68351083770922,0.0,0.0,647.0,0.8820163378583246,0.005557478406131189,0.00860145360896423,threshold
72,pv75_battery5mwh_today,0.75,0.0,0.0,84.53067016601562,53.12243607735588,0.02734275667915796,49.216962022484324,0.0,0.0,626.0,0.8936439735524093,0.00561837466010095,0.0077255179012243515,threshold
73,pv75_battery5mwh_today,0.75,0.0,0.0,84.14989471435547,52.921728164686265,0.026985695943866288,48.57425269895931,0.0,0.0,688.0,0.8923287993462914,0.005545006015862935,0.008917212820684249,threshold
74,pv75_battery5mwh_today,0.75,0.0,0.0,84.57909393310547,53.02762335404617,0.02723689216531947,49.02640589757504,0.0,0.0,659.0,0.8969061492436825,0.00559662167780537,0.008718274172885784,threshold
75,pv75_battery5mwh_today,0.75,0.0,0.0,84.40508270263672,52.924645078489284,0.02705507426229053,48.69913367212296,0.0,0.0,663.0,0.8866184304816391,0.005559261834717232,0.008520122756429131,threshold
76,pv75_battery5mwh_today,0.75,0.0,0.0,84.73344421386719,53.170557297138394,0.027236024228873945,49.024843611973104,0.0,0.0,631.0,0.8842944294998648,0.005596443334700125,0.007464282076982846,threshold
77,pv75_battery5mwh_today,0.75,0.0,0.0,84.59141540527344,52.95463145302573,0.02742516156892531,49.36529082406555,0.0,0.0,664.0,0.9060817268809581,0.005635307171696982,0.008772309213048083,threshold
78,pv75_battery5mwh_today,0.75,0.0,0.0,85.47705078125,52.95253458436269,0.027066251054869504,48.71925189876511,0.0,0.0,667.0,0.8857062965022077,0.00556155843593209,0.007757159946244679,threshold
79,pv75_battery5mwh_today,0.75,0.0,0.0,84.55110168457031,53.07896100287687,0.027337488973626763,49.20748015252817,0.0,0.0,621.0,0.8821756478994354,0.005617292254854815,0.008228721101022088,threshold
80,pv75_battery5mwh_today,0.75,0.0,0.0,84.90552520751953,52.97857910291335,0.027573040632020953,49.63147313763772,0.0,0.0,656.0,0.8880219637825807,0.00566569328055225,0.008052388845615467,threshold
81,pv75_battery5mwh_today,0.75,0.0,0.0,84.84678649902344,53.010667349030314,0.02736650790639305,49.259714231507495,0.0,0.0,634.0,0.8867411096683513,0.005623255049258846,0.008739598409236937,threshold
82,pv75_battery5mwh_today,0.75,0.0,0.0,84.64006805419922,53.03251741245952,0.027281933410232106,49.10748013841779,0.0,0.0,649.0,0.9043994574075024,0.005605876728129884,0.008317170104991015,threshold
83,pv75_battery5mwh_today,0.75,0.0,0.0,84.734130859375,53.0231963668747,0.027009675053276068,48.61741509589692,0.0,0.0,651.0,0.8912626295254347,0.005549933230125219,0.008043351427050505,threshold
84,pv75_battery5mwh_today,0.75,0.0,0.0,84.89974975585938,52.94035119606353,0.027145560053760218,48.86200809676839,0.0,0.0,667.0,0.8870219743870126,0.005577854805567168,0.0076979035530588035,threshold
